SOUID,DATE,RR,Q_RR
219147,19890801,-9999,    9
219147,19890802,    0,    0
219147,19890803,    0,    0
219147,19890804,-9999,    9
219147,19890805,-9999,    9
219147,19890806,-9999,    9
219147,19890807,-9999,    9
219147,19890808,-9999,    9
219147,19890809,-9999,    9
219147,19890810,-9999,    9
219147,19890811,-9999,    9
219147,19890812,-9999,    9
219147,19890813,-9999,    9
219147,19890814,-9999,    9
219147,19890815,-9999,    9
219147,19890816,-9999,    9
219147,19890817,-9999,    9
219147,19890818,-9999,    9
219147,19890819,-9999,    9
219147,19890820,-9999,    9
219147,19890821,-9999,    9
219147,19890822,-9999,    9
219147,19890823,-9999,    9
219147,19890824,-9999,    9
219147,19890825,-9999,    9
219147,19890826,-9999,    9
219147,19890827,-9999,    9
219147,19890828,-9999,    9
219147,19890829,-9999,    9
219147,19890830,-9999,    9
219147,19890831,-9999,    9
219147,19890901,-9999,    9
219147,19890902,-9999,    9
219147,19890903,-9999,    9
219147,19890904,    0,    0
219147,19890905,-9999,    9
219147,19890906,-9999,    9
219147,19890907,    0,    0
219147,19890908,    0,    0
219147,19890909,   14,    0
219147,19890910,    0,    0
219147,19890911,-9999,    9
219147,19890912,   30,    0
219147,19890913,    0,    0
219147,19890914,   22,    0
219147,19890915,-9999,    9
219147,19890916,   24,    0
219147,19890917,-9999,    9
219147,19890918,-9999,    9
219147,19890919,    0,    0
219147,19890920,-9999,    9
219147,19890921,    0,    0
219147,19890922,-9999,    9
219147,19890923,    0,    0
219147,19890924,    0,    0
219147,19890925,-9999,    9
219147,19890926,-9999,    9
219147,19890927,    4,    0
219147,19890928,    0,    0
219147,19890929,    0,    0
219147,19890930,-9999,    9
219147,19891001,-9999,    9
219147,19891002,    0,    0
219147,19891003,    0,    0
219147,19891004,-9999,    9
219147,19891005,-9999,    9
219147,19891006,    0,    0
219147,19891007,-9999,    9
219147,19891008,-9999,    9
219147,19891009,-9999,    9
219147,19891010,-9999,    9
219147,19891011,-9999,    9
219147,19891012,-9999,    9
219147,19891013,    0,    0
219147,19891014,-9999,    9
219147,19891015,-9999,    9
219147,19891016,    0,    0
219147,19891017,-9999,    9
219147,19891018,-9999,    9
219147,19891019,-9999,    9
219147,19891020,-9999,    9
219147,19891021,   32,    0
219147,19891022,    2,    0
219147,19891023,-9999,    9
219147,19891024,-9999,    9
219147,19891025,-9999,    9
219147,19891026,-9999,    9
219147,19891027,-9999,    9
219147,19891028,   10,    0
219147,19891029,   30,    0
219147,19891030,   12,    0
219147,19891031,-9999,    9
219147,19891101,-9999,    9
219147,19891102,   94,    0
219147,19891103,    0,    0
219147,19891104,-9999,    9
219147,19891105,    2,    0
219147,19891106,-9999,    9
219147,19891107,    0,    0
219147,19891108,   40,    0
219147,19891109,   42,    0
219147,19891110,-9999,    9
