SOUID,DATE,RR,Q_RR
903779,19980701,    0,    0
219145,19980702,    0,    0
219145,19980703,    0,    0
219145,19980704,    0,    0
219145,19980705,    0,    0
219145,19980706,    2,    0
219145,19980707,    0,    0
219145,19980708,    0,    0
219145,19980709,    0,    0
219145,19980710,    0,    0
219145,19980711,   76,    0
219145,19980712,   70,    0
219145,19980713,    6,    0
219145,19980714,    0,    0
219145,19980715,    0,    0
219145,19980716,   26,    0
219145,19980717,    2,    0
219145,19980718,    0,    0
219145,19980719,    0,    0
219145,19980720,   12,    0
219145,19980721,   24,    0
219145,19980722,   28,    0
219145,19980723,    4,    0
219145,19980724,    0,    0
219145,19980725,    0,    0
219145,19980726,    0,    0
219145,19980727,    8,    0
219145,19980728,    0,    0
219145,19980729,   14,    0
219145,19980730,   46,    0
219145,19980731,    0,    0
219145,19980801,   20,    0
219145,19980802,    0,    0
219145,19980803,   14,    0
219145,19980804,    0,    0
219145,19980805,    0,    0
219145,19980806,    0,    0
219145,19980807,    0,    0
219145,19980808,    0,    0
219145,19980809,    0,    0
219145,19980810,    0,    0
219145,19980811,    0,    0
219145,19980812,    0,    0
219145,19980813,    0,    0
219145,19980814,    0,    0
219145,19980815,   72,    0
219145,19980816,    0,    0
219145,19980817,    0,    0
219145,19980818,    0,    0
219145,19980819,    0,    0
219145,19980820,    0,    0
219145,19980821,    0,    0
219145,19980822,    0,    0
219145,19980823,   62,    0
219145,19980824,    2,    0
219145,19980825,    0,    0
219145,19980826,   14,    0
219145,19980827,    0,    0
219145,19980828,    0,    0
219145,19980829,    0,    0
219145,19980830,    0,    0
219145,19980831,    0,    0
903779,19980901,    0,    0
903779,19980902,   84,    0
903779,19980903,   30,    0
903779,19980904,  140,    0
903779,19980905,   30,    0
903779,19980906,    2,    0
903779,19980907,   10,    0
903779,19980908,   22,    0
903779,19980909,    0,    0
219145,19980910,-9999,    9
903779,19980911,    0,    0
903779,19980912,   60,    0
903779,19980913,    0,    0
903779,19980914,    0,    0
903779,19980915,   26,    0
903779,19980916,    0,    0
903779,19980917,    0,    0
903779,19980918,    0,    0
903779,19980919,    0,    0
903779,19980920,    0,    0
903779,19980921,    0,    0
903779,19980922,    0,    0
903779,19980923,    0,    0
903779,19980924,    0,    0
903779,19980925,    0,    0
903779,19980926,  200,    0
903779,19980927,    6,    0
903779,19980928,   10,    0
219145,19980929,-9999,    9
903779,19980930,  100,    0
903779,19981001,    0,    0
903779,19981002,    0,    0
903779,19981003,    0,    0
903779,19981004,    6,    0
903779,19981005,  150,    0
903779,19981006,    0,    0
903779,19981007,    0,    0
903779,19981008,    0,    0
903779,19981009,   20,    0
903779,19981010,   20,    0
903779,19981011,    0,    0
903779,19981012,    0,    0
903779,19981013,   32,    0
903779,19981014,    4,    0
903779,19981015,    0,    0
903779,19981016,   80,    0
903779,19981017,   40,    0
903779,19981018,    0,    0
903779,19981019,    0,    0
903779,19981020,   20,    0
903779,19981021,    8,    0
903779,19981022,   52,    0
903779,19981023,   30,    0
903779,19981024,  180,    0
903779,19981025,   20,    0
903779,19981026,   48,    0
903779,19981027,   70,    0
903779,19981028,   26,    0
903779,19981029,    0,    0
903779,19981030,    2,    0
903779,19981031,  310,    0
903779,19981101,    2,    0
903779,19981102,  104,    0
903779,19981103,   82,    0
903779,19981104,    2,    0
903779,19981105,    4,    0
903779,19981106,    0,    0
903779,19981107,    4,    0
903779,19981108,   90,    0
903779,19981109,   70,    0
903779,19981110,    2,    0
903779,19981111,   20,    0
903779,19981112,    8,    0
903779,19981113,  110,    0
903779,19981114,   20,    0
903779,19981115,    8,    0
903779,19981116,    0,    0
903779,19981117,    0,    0
903779,19981118,    0,    0
903779,19981119,    0,    0
903779,19981120,    0,    0
903779,19981121,    0,    0
903779,19981122,    0,    0
903779,19981123,    0,    0
903779,19981124,   50,    0
903779,19981125,    4,    0
903779,19981126,    0,    0
903779,19981127,    4,    0
903779,19981128,   50,    0
903779,19981129,16374,    1
903779,19981130,    0,    0
903779,19981201,    0,    0
903779,19981202,    0,    0
903779,19981203,    2,    0
903779,19981204,    0,    0
903779,19981205,    0,    0
903779,19981206,    0,    0
903779,19981207,    0,    0
903779,19981208,   30,    0
903779,19981209,    0,    0
903779,19981210,   40,    0
903779,19981211,    4,    0
903779,19981212,   30,    0
903779,19981213,    0,    0
903779,19981214,   10,    0
903779,19981215,   70,    0
903779,19981216,    0,    0
903779,19981217,   10,    0
903779,19981218,   40,    0
903779,19981219,    0,    0
903779,19981220,    0,    0
903779,19981221,   10,    0
903779,19981222,    4,    0
903779,19981223,  104,    0
903779,19981224,   30,    0
903779,19981225,   60,    0
903779,19981226,   70,    0
903779,19981227,   10,    0
903779,19981228,    0,    0
903779,19981229,    0,    0
903779,19981230,   10,    0
903779,19981231,    6,    0
903779,19990101,   10,    0
903779,19990102,   70,    0
903779,19990103,   90,    0
903779,19990104,    8,    0
903779,19990105,    0,    0
903779,19990106,   40,    0
903779,19990107,   30,    0
903779,19990108,   78,    0
903779,19990109,    0,    0
903779,19990110,    0,    0
903779,19990111,    0,    0
903779,19990112,  100,    0
903779,19990113,   10,    0
903779,19990114,    6,    0
903779,19990115,  120,    0
903779,19990116,   10,    0
903779,19990117,    0,    0
903779,19990118,   10,    0
903779,19990119,   40,    0
903779,19990120,    6,    0
903779,19990121,    0,    0
903779,19990122,    0,    0
903779,19990123,   10,    0
903779,19990124,    0,    0
903779,19990125,    0,    0
903779,19990126,   40,    0
903779,19990127,   10,    0
903779,19990128,    2,    0
903779,19990129,    2,    0
903779,19990130,   10,    0
903779,19990131,    0,    0
903779,19990201,    0,    0
903779,19990202,    0,    0
903779,19990203,    0,    0
903779,19990204,    0,    0
903779,19990205,    0,    0
903779,19990206,   10,    0
903779,19990207,    0,    0
903779,19990208,    5,    0
903779,19990209,    0,    0
903779,19990210,    0,    0
903779,19990211,    0,    0
903779,19990212,    0,    0
219145,19990213,-9999,    9
903779,19990214,   18,    0
903779,19990215,    2,    0
903779,19990216,    0,    0
903779,19990217,   20,    0
903779,19990218,   20,    0
903779,19990219,    6,    0
903779,19990220,    0,    0
903779,19990221,    8,    0
903779,19990222,    0,    0
903779,19990223,    8,    0
903779,19990224,    0,    0
903779,19990225,    0,    0
