year,   jan,    feb,    mar,    apr,    may,    jun,   jul,   aug,   sep,   oct,   nov,   dec,    win,    spr,    sum,    aut,    ann
1836,  67.7,   59.0,  103.1,   90.7,   21.5,   39.9,  65.1,  64.4,  94.8, 126.1, 100.0,  60.1,    ---,  215.3,  169.4,  320.9,  892.3
1837,  80.2,   81.1,   19.8,   34.4,   24.9,   34.3,  44.2,  87.5,  42.7,  67.6,  51.9,  53.7,  221.4,   79.2,  166.1,  162.2,  622.5
1838,  12.9,   58.1,   37.6,   22.7,   28.6,   91.8,  44.0,  37.9,  85.9,  68.5, 122.8,  69.1,  124.7,   88.9,  173.7,  277.3,  679.9
1839,  48.6,   53.5,   51.4,   37.5,   25.2,   65.0, 104.8,  54.0, 137.5,  72.7, 117.7, 108.1,  171.1,  114.1,  223.7,  327.9,  876.0
1840,  87.0,   49.3,    7.6,    5.0,   53.2,   34.0,  59.9,  49.9,  82.8,  38.9, 121.6,  12.7,  244.5,   65.8,  143.8,  243.3,  601.9
1841,  78.7,   44.5,   49.0,   47.8,   64.3,   55.5,  63.3,  78.4, 130.4, 159.7, 114.1,  73.2,  135.9,  161.0,  197.2,  404.2,  958.9
1842,  43.2,   52.9,   61.8,    8.8,   42.9,   33.6,  41.0,  62.5,  91.1,  41.6, 143.9,  40.8,  169.3,  113.5,  137.1,  276.6,  664.1
1843,  54.9,   58.8,   24.0,   56.5,  122.0,   51.8,  52.1,  90.1,  18.6, 113.8,  69.1,  17.8,  154.6,  202.5,  194.0,  201.5,  729.5
1844,  67.5,   75.0,   75.9,   11.2,    9.3,   30.0,  48.7,  66.4,  35.6, 118.9,  99.3,  14.7,  160.3,   96.4,  145.1,  253.8,  652.5
1845,  73.0,   32.5,   29.7,   33.8,   61.1,   45.4,  55.7,  69.2,  68.0,  49.3,  77.6,  70.2,  120.1,  124.6,  170.3,  194.8,  665.4
1846, 102.7,   37.7,   47.3,   67.9,   43.2,   31.8,  55.5,  96.2,  51.1, 146.4,  48.5,  35.1,  210.6,  158.4,  183.5,  246.1,  763.5
