STAID,SOUID,DATE,RR,Q_RR
  1860,219137,19800101,    0,    0
  1860,219137,19800102,    2,    0
  1860,219137,19800103,  112,    0
  1860,219137,19800104,   22,    0
  1860,219137,19800105,    0,    0
  1860,219137,19800106,    2,    0
  1860,219137,19800107,    0,    0
  1860,219137,19800108,    0,    0
  1860,219137,19800109,    0,    0
  1860,219137,19800110,    0,    0
  1860,219137,19800111,    0,    0
  1860,219137,19800112,    0,    0
  1860,219137,19800113,    0,    0
  1860,219137,19800114,    0,    0
  1860,219137,19800115,    1,    0
  1860,219137,19800116,    0,    0
  1860,219137,19800117,    0,    0
  1860,219137,19800118,    0,    0
  1860,219137,19800119,    4,    0
  1860,219137,19800120,    0,    0
  1860,219137,19800121,  100,    0
  1860,219137,19800122,    3,    0
  1860,219137,19800123,    2,    0
  1860,219137,19800124,    0,    0
  1860,219137,19800125,    0,    0
  1860,219137,19800126,    0,    0
  1860,219137,19800127,    0,    0
  1860,219137,19800128,    0,    0
  1860,219137,19800129,    2,    0
  1860,219137,19800130,   12,    0
  1860,219137,19800131,   71,    0
  1860,219137,19800201,    0,    0
  1860,219137,19800202,   50,    0
  1860,219137,19800203,   53,    0
  1860,219137,19800204,   38,    0
  1860,219137,19800205,   14,    0
  1860,219137,19800206,   41,    0
  1860,219137,19800207,    8,    0
  1860,219137,19800208,   18,    0
  1860,219137,19800209,    4,    0
  1860,219137,19800210,    0,    0
  1860,219137,19800211,    0,    0
  1860,219137,19800212,    0,    0
  1860,219137,19800213,    0,    0
  1860,219137,19800214,    0,    0
  1860,219137,19800215,   16,    0
  1860,219137,19800216,   34,    0
  1860,219137,19800217,    0,    0
  1860,219137,19800218,    0,    0
  1860,219137,19800219,    0,    0
  1860,219137,19800220,    0,    0
  1860,219137,19800221,   40,    0
  1860,219137,19800222,   70,    0
  1860,219137,19800223,   15,    0
  1860,219137,19800224,    9,    0
  1860,219137,19800225,   14,    0
  1860,219137,19800226,    0,    0
  1860,219137,19800227,    0,    0
  1860,219137,19800228,    0,    0
  1860,219137,19800229,    0,    0
  1860,219137,19800301,    0,    0
  1860,219137,19800302,    0,    0
  1860,219137,19800303,    0,    0
  1860,219137,19800304,    0,    0
  1860,219137,19800305,   38,    0
  1860,219137,19800306,   63,    0
  1860,219137,19800307,   89,    0
  1860,219137,19800308,   22,    0
  1860,219137,19800309,    8,    0
  1860,219137,19800310,   26,    0
  1860,219137,19800311,    2,    0
  1860,219137,19800312,   85,    0
  1860,219137,19800313,    0,    0
  1860,219137,19800314,    4,    0
  1860,219137,19800315,    2,    0
  1860,219137,19800316,    0,    0
  1860,219137,19800317,   80,    0
  1860,219137,19800318,   98,    0
  1860,219137,19800319,   20,    0
  1860,219137,19800320,    0,    0
  1860,219137,19800321,    0,    0
  1860,219137,19800322,    0,    0
  1860,219137,19800323,   28,    0
  1860,219137,19800324,  102,    0
  1860,219137,19800325,    0,    0
  1860,219137,19800326,   63,    0
  1860,219137,19800327,   12,    0
  1860,219137,19800328,   95,    0
  1860,219137,19800329,    1,    0
  1860,219137,19800330,    0,    0
  1860,219137,19800331,   29,    0
  1860,219137,19800401,   68,    0
  1860,219137,19800402,    8,    0
  1860,219137,19800403,    0,    0
  1860,219137,19800404,    0,    0
  1860,219137,19800405,    2,    0
  1860,219137,19800406,    0,    0
  1860,219137,19800407,    0,    0
  1860,219137,19800408,    0,    0
  1860,219137,19800409,    0,    0
  1860,219137,19800410,    0,    0
  1860,219137,19800411,    0,    0
  1860,219137,19800412,    0,    0
  1860,219137,19800413,    0,    0
  1860,219137,19800414,    0,    0
  1860,219137,19800415,    0,    0
  1860,219137,19800416,    0,    0
  1860,219137,19800417,    2,    0
  1860,219137,19800418,    0,    0
  1860,219137,19800419,    0,    0
  1860,219137,19800420,    0,    0
  1860,219137,19800421,    0,    0
  1860,219137,19800422,   22,    0
  1860,219137,19800423,   16,    0
  1860,219137,19800424,    4,    0
  1860,219137,19800425,    0,    0
  1860,219137,19800426,    7,    0
  1860,219137,19800427,    9,    0
  1860,219137,19800428,    0,    0
  1860,219137,19800429,    0,    0
  1860,219137,19800430,   40,    0
  1860,219137,19800501,   12,    0
  1860,219137,19800502,    0,    0
  1860,219137,19800503,    0,    0
  1860,219137,19800504,    0,    0
  1860,219137,19800505,    0,    0
  1860,219137,19800506,    0,    0
  1860,219137,19800507,    0,    0
  1860,219137,19800508,    0,    0
  1860,219137,19800509,    0,    0
  1860,219137,19800510,    0,    0
  1860,219137,19800511,    0,    0
  1860,219137,19800512,    0,    0
  1860,219137,19800513,    0,    0
  1860,219137,19800514,    0,    0
  1860,219137,19800515,    0,    0
  1860,219137,19800516,    0,    0
  1860,219137,19800517,    0,    0
  1860,219137,19800518,    0,    0
  1860,219137,19800519,    0,    0
  1860,219137,19800520,   64,    0
  1860,219137,19800521,    5,    0
  1860,219137,19800522,    0,    0
  1860,219137,19800523,    0,    0
  1860,219137,19800524,    0,    0
  1860,219137,19800525,    0,    0
  1860,219137,19800526,    0,    0
  1860,219137,19800527,    0,    0
  1860,219137,19800528,    0,    0
  1860,219137,19800529,    0,    0
  1860,219137,19800530,    0,    0
  1860,219137,19800531,   75,    0
  1860,219137,19800601,    0,    0
  1860,219137,19800602,    0,    0
  1860,219137,19800603,    0,    0
  1860,219137,19800604,    0,    0
  1860,219137,19800605,    0,    0
  1860,219137,19800606,    0,    0
  1860,219137,19800607,   12,    0
  1860,219137,19800608,    0,    0
  1860,219137,19800609,    2,    0
  1860,219137,19800610,   34,    0
  1860,219137,19800611,   22,    0
  1860,219137,19800612,   12,    0
  1860,219137,19800613,   54,    0
  1860,219137,19800614,  396,    0
  1860,219137,19800615,   29,    0
  1860,219137,19800616,   75,    0
  1860,219137,19800617,  117,    0
  1860,219137,19800618,    0,    0
  1860,219137,19800619,    8,    0
  1860,219137,19800620,    8,    0
  1860,219137,19800621,    3,    0
  1860,219137,19800622,   51,    0
  1860,219137,19800623,   85,    0
  1860,219137,19800624,   28,    0
  1860,219137,19800625,   41,    0
  1860,219137,19800626,   13,    0
  1860,219137,19800627,    2,    0
  1860,219137,19800628,  112,    0
  1860,219137,19800629,    0,    0
  1860,219137,19800630,   84,    0
  1860,219137,19800701,    8,    0
  1860,219137,19800702,    1,    0
  1860,219137,19800703,   20,    0
  1860,219137,19800704,   28,    0
  1860,219137,19800705,    0,    0
  1860,219137,19800706,   16,    0
  1860,219137,19800707,   79,    0
  1860,219137,19800708,   22,    0
  1860,219137,19800709,   10,    0
  1860,219137,19800710,    0,    0
  1860,219137,19800711,   11,    0
  1860,219137,19800712,    0,    0
  1860,219137,19800713,   94,    0
  1860,219137,19800714,   42,    0
  1860,219137,19800715,    2,    0
  1860,219137,19800716,    0,    0
  1860,219137,19800717,    1,    0
  1860,219137,19800718,    3,    0
  1860,219137,19800719,   73,    0
  1860,219137,19800720,   15,    0
  1860,219137,19800721,    0,    0
  1860,219137,19800722,    0,    0
  1860,219137,19800723,    0,    0
  1860,219137,19800724,    0,    0
  1860,219137,19800725,    0,    0
  1860,219137,19800726,  169,    0
  1860,219137,19800727,    0,    0
  1860,219137,19800728,    0,    0
  1860,219137,19800729,    0,    0
  1860,219137,19800730,    0,    0
  1860,219137,19800731,    2,    0
  1860,219137,19800801,    0,    0
  1860,219137,19800802,    0,    0
  1860,219137,19800803,    0,    0
  1860,219137,19800804,    0,    0
  1860,219137,19800805,    1,    0
  1860,219137,19800806,    0,    0
  1860,219137,19800807,    0,    0
  1860,219137,19800808,    0,    0
  1860,219137,19800809,   11,    0
  1860,219137,19800810,    0,    0
  1860,219137,19800811,   31,    0
  1860,219137,19800812,   76,    0
  1860,219137,19800813,   55,    0
  1860,219137,19800814,  124,    0
  1860,219137,19800815,  116,    0
  1860,219137,19800816,    0,    0
  1860,219137,19800817,   10,    0
  1860,219137,19800818,    0,    0
  1860,219137,19800819,    0,    0
  1860,219137,19800820,    0,    0
  1860,219137,19800821,    1,    0
  1860,219137,19800822,    0,    0
  1860,219137,19800823,    0,    0
  1860,219137,19800824,    0,    0
  1860,219137,19800825,    0,    0
  1860,219137,19800826,    0,    0
  1860,219137,19800827,    0,    0
  1860,219137,19800828,    2,    0
  1860,219137,19800829,   61,    0
  1860,219137,19800830,   35,    0
  1860,219137,19800831,    0,    0
  1860,219137,19800901,    0,    0
  1860,219137,19800902,    0,    0
  1860,219137,19800903,    0,    0
  1860,219137,19800904,    0,    0
  1860,219137,19800905,   55,    0
  1860,219137,19800906,    2,    0
  1860,219137,19800907,    0,    0
  1860,219137,19800908,    3,    0
  1860,219137,19800909,    2,    0
  1860,219137,19800910,   10,    0
  1860,219137,19800911,    0,    0
  1860,219137,19800912,    0,    0
  1860,219137,19800913,    0,    0
  1860,219137,19800914,    0,    0
  1860,219137,19800915,    4,    0
  1860,219137,19800916,   88,    0
  1860,219137,19800917,    0,    0
  1860,219137,19800918,    3,    0
  1860,219137,19800919,    0,    0
  1860,219137,19800920,   49,    0
  1860,219137,19800921,   30,    0
  1860,219137,19800922,   47,    0
  1860,219137,19800923,    6,    0
  1860,219137,19800924,    0,    0
