STAID,SOUID,DATE,RR,Q_RR
 21975,219141,20070701,-9999,    9
 21975,219141,20070702,-9999,    9
 21975,219141,20070703,-9999,    9
 21975,219141,20070704,-9999,    9
 21975,219141,20070705,-9999,    9
 21975,219141,20070706,-9999,    9
 21975,219141,20070707,-9999,    9
 21975,219141,20070708,-9999,    9
 21975,219141,20070709,-9999,    9
 21975,219141,20070710,-9999,    9
 21975,219141,20070711,-9999,    9
 21975,219141,20070712,-9999,    9
 21975,219141,20070713,-9999,    9
 21975,219141,20070714,-9999,    9
 21975,219141,20070715,-9999,    9
 21975,219141,20070716,-9999,    9
 21975,219141,20070717,-9999,    9
 21975,219141,20070718,-9999,    9
 21975,219141,20070719,-9999,    9
 21975,219141,20070720,-9999,    9
 21975,219141,20070721,-9999,    9
 21975,219141,20070722,-9999,    9
 21975,219141,20070723,-9999,    9
 21975,219141,20070724,-9999,    9
 21975,219141,20070725,-9999,    9
 21975,219141,20070726,-9999,    9
 21975,219141,20070727,    2,    0
 21975,219141,20070728,   82,    0
 21975,219141,20070729,   76,    0
 21975,219141,20070730,    0,    0
 21975,219141,20070731,    0,    0
 21975,219141,20070801,    0,    0
 21975,219141,20070802,    0,    0
 21975,219141,20070803,    0,    0
 21975,219141,20070804,    0,    0
 21975,219141,20070805,    0,    0
 21975,219141,20070806,    0,    0
 21975,219141,20070807,    6,    0
 21975,219141,20070808,    0,    0
 21975,219141,20070809,    0,    0
 21975,219141,20070810,    0,    0
 21975,219141,20070811,    0,    0
 21975,219141,20070812,    0,    0
 21975,219141,20070813,    0,    0
 21975,219141,20070814,   94,    0
 21975,219141,20070815,  140,    0
 21975,219141,20070816,    0,    0
 21975,219141,20070817,    2,    0
 21975,219141,20070818,   44,    0
 21975,219141,20070819,   40,    0
 21975,219141,20070820,    0,    0
 21975,219141,20070821,    6,    0
 21975,219141,20070822,   56,    0
 21975,219141,20070823,   42,    0
 21975,219141,20070824,    0,    0
 21975,219141,20070825,    0,    0
 21975,219141,20070826,    0,    0
 21975,219141,20070827,    0,    0
 21975,219141,20070828,    0,    0
 21975,219141,20070829,    0,    0
 21975,219141,20070830,    0,    0
 21975,219141,20070831,    0,    0
 21975,219141,20070901,    0,    0
 21975,219141,20070902,    0,    0
 21975,219141,20070903,   12,    0
 21975,219141,20070904,    0,    0
 21975,219141,20070905,    0,    0
 21975,219141,20070906,    0,    0
 21975,219141,20070907,    0,    0
 21975,219141,20070908,    0,    0
 21975,219141,20070909,    0,    0
 21975,219141,20070910,    0,    0
 21975,219141,20070911,    0,    0
 21975,219141,20070912,    0,    0
 21975,219141,20070913,    0,    0
 21975,219141,20070914,    0,    0
 21975,219141,20070915,    0,    0
 21975,219141,20070916,    0,    0
 21975,219141,20070917,    0,    0
