STAID,SOUID,DATE,RR,Q_RR
 17476,219145,19980701,-9999,    9
 17476,219145,19980702,    0,    0
 17476,219145,19980703,    0,    0
 17476,219145,19980704,    0,    0
 17476,219145,19980705,    0,    0
 17476,219145,19980706,    2,    0
 17476,219145,19980707,    0,    0
 17476,219145,19980708,    0,    0
 17476,219145,19980709,    0,    0
 17476,219145,19980710,    0,    0
 17476,219145,19980711,   76,    0
 17476,219145,19980712,   70,    0
 17476,219145,19980713,    6,    0
 17476,219145,19980714,    0,    0
 17476,219145,19980715,    0,    0
 17476,219145,19980716,   26,    0
 17476,219145,19980717,    2,    0
 17476,219145,19980718,    0,    0
 17476,219145,19980719,    0,    0
 17476,219145,19980720,   12,    0
 17476,219145,19980721,   24,    0
 17476,219145,19980722,   28,    0
 17476,219145,19980723,    4,    0
 17476,219145,19980724,    0,    0
 17476,219145,19980725,    0,    0
 17476,219145,19980726,    0,    0
 17476,219145,19980727,    8,    0
 17476,219145,19980728,    0,    0
 17476,219145,19980729,   14,    0
 17476,219145,19980730,   46,    0
 17476,219145,19980731,    0,    0
 17476,219145,19980801,   20,    0
 17476,219145,19980802,    0,    0
 17476,219145,19980803,   14,    0
 17476,219145,19980804,    0,    0
 17476,219145,19980805,    0,    0
 17476,219145,19980806,    0,    0
 17476,219145,19980807,    0,    0
 17476,219145,19980808,    0,    0
 17476,219145,19980809,    0,    0
 17476,219145,19980810,    0,    0
 17476,219145,19980811,    0,    0
 17476,219145,19980812,    0,    0
 17476,219145,19980813,    0,    0
 17476,219145,19980814,    0,    0
 17476,219145,19980815,   72,    0
 17476,219145,19980816,    0,    0
 17476,219145,19980817,    0,    0
 17476,219145,19980818,    0,    0
 17476,219145,19980819,    0,    0
 17476,219145,19980820,    0,    0
 17476,219145,19980821,    0,    0
 17476,219145,19980822,    0,    0
 17476,219145,19980823,   62,    0
 17476,219145,19980824,    2,    0
 17476,219145,19980825,    0,    0
 17476,219145,19980826,   14,    0
 17476,219145,19980827,    0,    0
 17476,219145,19980828,    0,    0
 17476,219145,19980829,    0,    0
 17476,219145,19980830,    0,    0
 17476,219145,19980831,    0,    0
 17476,219145,19980901,-9999,    9
 17476,219145,19980902,-9999,    9
 17476,219145,19980903,-9999,    9
 17476,219145,19980904,-9999,    9
 17476,219145,19980905,-9999,    9
 17476,219145,19980906,-9999,    9
 17476,219145,19980907,-9999,    9
 17476,219145,19980908,-9999,    9
 17476,219145,19980909,-9999,    9
 17476,219145,19980910,-9999,    9
 17476,219145,19980911,-9999,    9
 17476,219145,19980912,-9999,    9
 17476,219145,19980913,-9999,    9
 17476,219145,19980914,-9999,    9
 17476,219145,19980915,-9999,    9
 17476,219145,19980916,-9999,    9
 17476,219145,19980917,-9999,    9
 17476,219145,19980918,-9999,    9
 17476,219145,19980919,-9999,    9
 17476,219145,19980920,-9999,    9
 17476,219145,19980921,-9999,    9
 17476,219145,19980922,-9999,    9
 17476,219145,19980923,-9999,    9
 17476,219145,19980924,-9999,    9
 17476,219145,19980925,-9999,    9
 17476,219145,19980926,-9999,    9
 17476,219145,19980927,-9999,    9
 17476,219145,19980928,-9999,    9
 17476,219145,19980929,-9999,    9
 17476,219145,19980930,-9999,    9
 17476,219145,19981001,-9999,    9
 17476,219145,19981002,-9999,    9
 17476,219145,19981003,-9999,    9
 17476,219145,19981004,-9999,    9
 17476,219145,19981005,-9999,    9
 17476,219145,19981006,-9999,    9
 17476,219145,19981007,-9999,    9
 17476,219145,19981008,-9999,    9
 17476,219145,19981009,-9999,    9
 17476,219145,19981010,-9999,    9
 17476,219145,19981011,-9999,    9
 17476,219145,19981012,-9999,    9
 17476,219145,19981013,-9999,    9
 17476,219145,19981014,-9999,    9
 17476,219145,19981015,-9999,    9
 17476,219145,19981016,-9999,    9
 17476,219145,19981017,-9999,    9
 17476,219145,19981018,-9999,    9
 17476,219145,19981019,-9999,    9
 17476,219145,19981020,-9999,    9
 17476,219145,19981021,-9999,    9
 17476,219145,19981022,-9999,    9
