year,   jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    oct,    nov,    dec,     win,     spr,     sum,     aut,     ann
1836,  63.0,   52.9,  103.6,   69.7,   16.1,   52.6,   60.6,   43.3,   80.9,  102.4,  121.3,   57.1,     ---,   189.4,   156.5,   304.5,   823.4
1837,  79.0,   80.1,   23.3,   42.8,   29.7,   42.9,   53.5,   93.1,   53.2,   65.2,   60.1,   60.3,   216.3,    95.8,   189.5,   178.5,   683.3
1838,  19.6,   62.9,   38.3,   36.5,   45.7,   92.5,   50.7,   49.0,   65.1,   66.7,  119.1,   57.0,   142.8,   120.6,   192.2,   250.9,   703.1
1839,  48.2,   50.7,   55.2,   38.9,   27.5,   96.4,  115.5,   65.7,  106.4,   79.2,  116.3,   87.2,   155.8,   121.7,   277.6,   301.9,   887.2
1840,  83.2,   52.2,    7.9,   12.4,   63.3,   39.0,   60.1,   47.6,   69.1,   41.0,  119.7,   15.0,   222.6,    83.6,   146.7,   229.9,   610.6
1841,  66.1,   43.5,   52.9,   44.4,   60.0,   62.4,   73.1,   86.4,  129.2,  125.4,  108.6,   79.7,   124.6,   157.4,   221.9,   363.2,   931.8
1842,  54.6,   46.8,   73.0,   14.2,   50.5,   47.2,   59.8,   55.5,   87.5,   40.5,  149.4,   40.6,   181.2,   137.7,   162.5,   277.4,   719.6
1843,  61.0,   65.5,   29.1,   64.3,  112.9,   66.6,   54.6,   99.1,   21.0,  127.4,   75.4,   15.7,   167.1,   206.3,   220.3,   223.8,   792.6
1844,  56.1,   73.9,   70.0,   11.1,    8.2,   32.8,   54.9,   69.6,   46.9,   98.1,   96.5,   20.7,   145.8,    89.3,   157.3,   241.6,   638.9
1845,  66.1,   31.0,   34.1,   38.9,   59.3,   59.0,   66.2,   82.4,   68.2,   44.7,   75.4,   78.1,   117.8,   132.4,   207.5,   188.2,   703.3
1846,  89.9,   33.0,   47.5,   87.5,   43.5,   36.2,   68.6,   91.6,   49.2,  127.5,   50.9,   35.7,   201.0,   178.4,   196.5,   227.6,   761.2
1847,  51.8,   38.9,   41.0,   41.3,   70.1,   57.2,   32.1,   40.9,   51.5,  101.8,   56.4,   99.1,   126.4,   152.3,   130.2,   209.7,   682.0
1848,  41.4,   95.7,   87.6,   84.2,   18.5,  108.0,   69.4,  108.6,   93.3,  120.6,   45.0,   86.3,   236.1,   190.2,   285.9,   258.9,   958.4
1849,  58.1,   45.6,   23.9,   74.6,   81.1,   30.3,   67.6,   37.0,   94.3,   79.4,   45.5,   87.6,   190.1,   179.7,   135.0,   219.1,   725.1
