time,step,number,surface,latitude,longitude,valid_time,tp,actual_latitude,actual_longitude,target_latitude,target_longitude
2021-12-31 18:00:00,0 days 01:00:00,0,0.0,51.6,-0.2,2021-12-31 19:00:00,,51.6,-0.2,51.5074,-0.1278
2021-12-31 18:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-01 06:00:00,2.8684735e-07,51.6,-0.2,51.5074,-0.1278
2021-12-31 18:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-01 05:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2021-12-31 18:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-01 04:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2021-12-31 18:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-01 02:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2021-12-31 18:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-01 01:00:00,6.6682696e-07,51.6,-0.2,51.5074,-0.1278
2021-12-31 18:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-01 03:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2021-12-31 18:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2021-12-31 23:00:00,,51.6,-0.2,51.5074,-0.1278
2021-12-31 18:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2021-12-31 22:00:00,,51.6,-0.2,51.5074,-0.1278
2021-12-31 18:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2021-12-31 21:00:00,,51.6,-0.2,51.5074,-0.1278
2021-12-31 18:00:00,0 days 02:00:00,0,0.0,51.6,-0.2,2021-12-31 20:00:00,,51.6,-0.2,51.5074,-0.1278
2021-12-31 18:00:00,0 days 06:00:00,0,0.0,51.6,-0.2,2022-01-01 00:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-01 06:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-01 14:00:00,8.906424e-05,51.6,-0.2,51.5074,-0.1278
2022-01-01 06:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-01 18:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-01 06:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-01 17:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-01 06:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-01 16:00:00,6.556511e-07,51.6,-0.2,51.5074,-0.1278
2022-01-01 06:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-01 15:00:00,1.1622906e-05,51.6,-0.2,51.5074,-0.1278
2022-01-01 06:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-01 13:00:00,5.5845827e-05,51.6,-0.2,51.5074,-0.1278
2022-01-01 06:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2022-01-01 09:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-01 06:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2022-01-01 11:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-01 06:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2022-01-01 10:00:00,0.0,51.6,-0.2,51.5074,-0.1278
